filter_scaling,depth,batchsize,fold,highest_val_acc,lowest_val_loss,threshold_max,mAP_max,threshold_max_augmentation,mAP_max_augmentation
8.0,4.0,64.0,1.0,0.9617778778076171,0.10365020871162414,0.7346938775510203,0.6623750000000002,0.5714285714285714,0.6980000000000001
8.0,4.0,64.0,2.0,0.9646674346923828,0.09522937685251236,0.7551020408163265,0.6672499999999999,0.6530612244897959,0.684625
8.0,4.0,64.0,3.0,0.9638823699951172,0.09671266078948974,0.7551020408163265,0.6548750000000001,0.6326530612244897,0.6916249999999999
8.0,4.0,64.0,4.0,0.9633716583251953,0.09479469895362853,0.6530612244897959,0.6757500000000001,0.6530612244897959,0.70025
8.0,5.0,64.0,1.0,0.9651905822753907,0.10359281659126282,0.7346938775510203,0.70375,0.6530612244897959,0.72125
8.0,5.0,64.0,2.0,0.9640238952636718,0.10278997898101806,0.6326530612244897,0.6948750000000001,0.5714285714285714,0.7247499999999999
8.0,5.0,64.0,3.0,0.9642062377929688,0.10371626392006875,0.5714285714285714,0.7005000000000001,0.5918367346938775,0.7241249999999999
8.0,5.0,64.0,4.0,0.9634353637695312,0.1027445411682129,0.5918367346938775,0.7044999999999999,0.5306122448979591,0.7305000000000001
8.0,6.0,64.0,1.0,0.9710234832763672,0.08443322867155074,0.4897959183673469,0.7341249999999999,0.5102040816326531,0.748125
8.0,6.0,64.0,2.0,0.9678462982177735,0.08671921163797379,0.6326530612244897,0.7326249999999999,0.5306122448979591,0.7519999999999999
8.0,6.0,64.0,3.0,0.9637952423095704,0.10023242563009262,0.5918367346938775,0.69875,0.6122448979591836,0.7190000000000001
8.0,6.0,64.0,4.0,0.9682570648193359,0.09286183953285217,0.6530612244897959,0.7145,0.6326530612244897,0.7340000000000001
16.0,4.0,64.0,1.0,0.9657823944091797,0.09733746349811553,0.673469387755102,0.692375,0.673469387755102,0.7075
16.0,4.0,64.0,2.0,0.9645068359375,0.09834716796875,0.5510204081632653,0.6998750000000001,0.4693877551020408,0.7175
16.0,4.0,64.0,3.0,0.9663262176513672,0.09341543436050415,0.6938775510204082,0.669375,0.5918367346938775,0.7045
