,det_min_confidence,mAP
0,0.0,0.5909598948060487
1,0.05,0.5909598948060487
2,0.1,0.5909598948060487
3,0.15000000000000002,0.5909598948060487
4,0.2,0.5909598948060487
5,0.25,0.5909598948060487
6,0.30000000000000004,0.5909598948060487
7,0.35000000000000003,0.5909598948060487
8,0.4,0.5909598948060487
9,0.45,0.5909598948060487
10,0.5,0.5909598948060487
11,0.55,0.5930637738330046
12,0.6000000000000001,0.5929322813938198
13,0.65,0.5939184746877054
14,0.7000000000000001,0.5962524654832347
15,0.75,0.5973372781065089
16,0.8,0.598060486522025
17,0.8500000000000001,0.5987508218277449
18,0.9,0.6000986193293886
19,0.9500000000000001,0.6026627218934911
20,1.0,0.0
