batchsize,fold,freeze_layer,highest_val_acc,lowest_val_loss,threshold_max,mAP_max,threshold_max_augmentation,mAP_max_augmentation
64.0,1.0,7.0,0.968487548828125,0.08515744745731353,0.6530612244897959,0.72725,0.5306122448979591,0.7396250000000001
64.0,2.0,7.0,0.9652269744873047,0.09488922953605652,0.6326530612244897,0.69525,0.7142857142857142,0.70825
64.0,3.0,7.0,0.9674591827392578,0.08385809391736984,0.8163265306122448,0.710375,0.6938775510204082,0.7228749999999999
64.0,1.0,8.0,0.9668796539306641,0.09015703201293945,0.7551020408163265,0.709375,0.5918367346938775,0.710125
64.0,2.0,8.0,0.9673256683349609,0.08804279208183288,0.8163265306122448,0.7025,0.6938775510204082,0.70475
64.0,3.0,8.0,0.9740751647949218,0.06944358438253402,0.6530612244897959,0.736625,0.6326530612244897,0.751625
64.0,1.0,9.0,0.9649476623535156,0.09692719787359237,0.7551020408163265,0.7175,0.7551020408163265,0.7295
64.0,2.0,9.0,0.9708745574951172,0.08767840683460236,0.6938775510204082,0.7376250000000002,0.6530612244897959,0.7458750000000001
64.0,3.0,9.0,0.965164794921875,0.09561757728457451,0.8163265306122448,0.6869999999999998,0.7346938775510203,0.705625
64.0,1.0,10.0,0.9741782379150391,0.06952585071325303,0.7346938775510203,0.754,0.6326530612244897,0.7606250000000001
64.0,2.0,10.0,0.9735250854492188,0.06958125293254852,0.6938775510204082,0.7355000000000002,0.7142857142857142,0.747875
64.0,3.0,10.0,0.9707990264892579,0.08850902199745178,0.673469387755102,0.7361249999999999,0.5306122448979591,0.7442500000000001
64.0,1.0,11.0,0.9645313262939453,0.09233867526054382,0.6530612244897959,0.7060000000000001,0.5918367346938775,0.717125
64.0,2.0,11.0,0.9675160217285156,0.08749068021774292,0.673469387755102,0.7219999999999999,0.6326530612244897,0.731375
64.0,3.0,11.0,0.9701626586914063,0.09091479301452637,0.6122448979591836,0.73075,0.5510204081632653,0.744375
64.0,1.0,12.0,0.9673068237304687,0.08736987590789795,0.6938775510204082,0.716375,0.5714285714285714,0.733125
64.0,2.0,12.0,0.964725341796875,0.09407008528709411,0.6122448979591836,0.69625,0.5102040816326531,0.7248750000000002
64.0,3.0,12.0,0.9671086883544922,0.09615212470293046,0.673469387755102,0.71525,0.7142857142857142,0.7226250000000001
64.0,1.0,13.0,0.9626313781738282,0.09982705414295197,0.4081632653061224,0.69475,0.4081632653061224,0.7077500000000001
64.0,2.0,13.0,0.9657392120361328,0.09704581379890442,0.5306122448979591,0.6807500000000001,0.5714285714285714,0.7048749999999999
