filter_scaling,depth,batchsize,fold,bn_momentum,final_epoch,random_seed,highest_val_acc,lowest_val_loss,threshold_max,mAP_max,threshold_max_augmentation,mAP_max_augmentation
48.0,5.0,64.0,1.0,0.6,31.0,3898782197.0,0.975430290159652,0.07024122663512634,0.6530612244897959,0.7336760925449871,0.5714285714285714,0.7502570694087403
48.0,5.0,64.0,2.0,0.6,51.0,1778053350.0,0.9806904535367127,0.06785066309923685,0.5918367346938775,0.7912596401028278,0.6530612244897959,0.8034704370179949
48.0,5.0,64.0,3.0,0.6,40.0,1864849931.0,0.9779131185732648,0.0724911002447029,0.5306122448979591,0.741388174807198,0.5714285714285714,0.7577120822622108
48.0,5.0,64.0,4.0,0.6,38.0,3302046158.0,0.9805929381927059,0.05361608409138449,0.5510204081632653,0.787917737789203,0.4897959183673469,0.7908740359897172
