covcat,count,mean,amax,amin
1.0,115,0.26,0.9,0.0
2.0,57,0.5228070175438595,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.2834782608695652,1.0,0.0
2.0,57,0.5929824561403506,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.31391304347826093,1.0,0.0
2.0,57,0.5807017543859647,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.3608695652173914,1.0,0.0
2.0,57,0.5877192982456139,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.33391304347826084,1.0,0.0
2.0,57,0.6175438596491227,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.2956521739130435,1.0,0.0
2.0,57,0.6298245614035086,0.9,0.0
covcat,count,mean,amax,amin
1.0,115,0.3243478260869566,1.0,0.0
2.0,57,0.6385964912280699,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.3513043478260869,1.0,0.0
2.0,57,0.6035087719298244,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.29565217391304344,1.0,0.0
2.0,57,0.531578947368421,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.33043478260869563,1.0,0.0
2.0,57,0.6192982456140349,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.30260869565217385,1.0,0.0
2.0,57,0.5684210526315789,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.37565217391304334,1.0,0.0
2.0,57,0.6228070175438597,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.31565217391304345,1.0,0.0
2.0,57,0.6789473684210525,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.3147826086956522,1.0,0.0
2.0,57,0.624561403508772,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.3243478260869565,1.0,0.0
2.0,57,0.6684210526315786,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.3339130434782609,1.0,0.0
2.0,57,0.6543859649122805,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.3182608695652175,1.0,0.0
2.0,57,0.6614035087719297,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.3382608695652174,1.0,0.0
2.0,57,0.6947368421052628,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.3573913043478263,1.0,0.0
2.0,57,0.6438596491228069,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.3391304347826087,1.0,0.0
2.0,57,0.6122807017543859,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.29304347826086957,1.0,0.0
2.0,57,0.594736842105263,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.3678260869565218,1.0,0.0
2.0,57,0.626315789473684,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.31999999999999995,1.0,0.0
2.0,57,0.5666666666666667,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.32260869565217387,1.0,0.0
2.0,57,0.5456140350877192,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.3739130434782607,1.0,0.0
2.0,57,0.5859649122807016,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.36608695652173906,1.0,0.0
2.0,57,0.6350877192982454,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.3817391304347825,0.9,0.0
2.0,57,0.6017543859649123,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.35043478260869565,1.0,0.0
2.0,57,0.6000000000000002,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.2947826086956522,1.0,0.0
2.0,57,0.512280701754386,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.3208695652173913,1.0,0.0
2.0,57,0.5596491228070176,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.3,1.0,0.0
2.0,57,0.5578947368421052,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.34608695652173904,1.0,0.0
2.0,57,0.6631578947368421,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.29826086956521736,1.0,0.0
2.0,57,0.6350877192982451,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.3269565217391303,1.0,0.0
2.0,57,0.6736842105263158,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.3591304347826086,1.0,0.0
2.0,57,0.6315789473684207,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.38608695652173913,1.0,0.0
2.0,57,0.5982456140350876,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.36434782608695643,1.0,0.0
2.0,57,0.5350877192982455,1.0,0.0
covcat,count,mean,amax,amin
1.0,115,0.3391304347826085,1.0,0.0
